hour,date,fact_value,predict_value
0,27.11.2018,27518.833333333332,0.0
6,27.11.2018,34123.833333333336,0.0
12,27.11.2018,34872.333333333336,0.0
18,27.11.2018,31312.333333333332,0.0
0,28.11.2018,27932.666666666668,0.0
6,28.11.2018,34272.166666666664,0.0
12,28.11.2018,35168.833333333336,0.0
18,28.11.2018,31694.166666666668,0.0
0,29.11.2018,28264.833333333332,0.0
6,29.11.2018,34810.333333333336,0.0
12,29.11.2018,35397.833333333336,0.0
18,29.11.2018,32091.5,0.0
0,30.11.2018,28851.0,0.0
6,30.11.2018,35529.666666666664,0.0
12,30.11.2018,35662.833333333336,0.0
18,30.11.2018,32451.833333333332,0.0
0,01.12.2018,28517.5,0.0
6,01.12.2018,32853.0,0.0
12,01.12.2018,34143.0,0.0
18,01.12.2018,31527.166666666668,0.0
0,02.12.2018,27703.5,0.0
6,02.12.2018,31634.833333333332,0.0
12,02.12.2018,33500.166666666664,0.0
18,02.12.2018,30908.333333333332,0.0
0,03.12.2018,27974.666666666668,0.0
6,03.12.2018,34921.5,0.0
12,03.12.2018,35601.5,0.0
18,03.12.2018,31966.833333333332,0.0
0,04.12.2018,28417.166666666668,0.0
6,04.12.2018,35086.166666666664,0.0
12,04.12.2018,35564.833333333336,0.0
18,04.12.2018,31571.666666666668,0.0
0,05.12.2018,27959.5,0.0
6,05.12.2018,34510.166666666664,0.0
12,05.12.2018,35120.5,0.0
18,05.12.2018,31373.666666666668,0.0
0,06.12.2018,28099.166666666668,0.0
6,06.12.2018,34198.833333333336,0.0
12,06.12.2018,34772.5,0.0
18,06.12.2018,31232.166666666668,0.0
0,07.12.2018,27855.5,0.0
6,07.12.2018,34291.166666666664,0.0
12,07.12.2018,34820.333333333336,0.0
18,07.12.2018,31350.833333333332,0.0
0,08.12.2018,27222.333333333332,0.0
6,08.12.2018,31768.833333333332,0.0
12,08.12.2018,33252.666666666664,0.0
18,08.12.2018,30706.333333333332,0.0
0,09.12.2018,27071.833333333332,0.0
6,09.12.2018,30934.666666666668,0.0
12,09.12.2018,32997.5,0.0
18,09.12.2018,30581.333333333332,0.0
0,10.12.2018,27482.0,0.0
6,10.12.2018,33975.333333333336,0.0
12,10.12.2018,34644.333333333336,0.0
18,10.12.2018,30903.333333333332,0.0
0,11.12.2018,27484.666666666668,0.0
6,11.12.2018,34010.666666666664,0.0
12,11.12.2018,34516.666666666664,0.0
18,11.12.2018,30746.0,0.0
0,12.12.2018,27368.833333333332,0.0
6,12.12.2018,33872.333333333336,0.0
12,12.12.2018,34598.833333333336,0.0
18,12.12.2018,30831.666666666668,0.0
0,13.12.2018,27462.666666666668,0.0
6,13.12.2018,33805.166666666664,0.0
12,13.12.2018,34617.0,0.0
18,13.12.2018,31149.833333333332,0.0
0,14.12.2018,27715.5,0.0
6,14.12.2018,34216.666666666664,0.0
12,14.12.2018,34788.833333333336,0.0
18,14.12.2018,31269.666666666668,0.0
0,15.12.2018,27128.333333333332,0.0
6,15.12.2018,31682.0,0.0
12,15.12.2018,33254.5,0.0
18,15.12.2018,31015.0,0.0
0,16.12.2018,27510.166666666668,0.0
6,16.12.2018,31629.5,0.0
12,16.12.2018,33587.5,0.0
18,16.12.2018,31767.833333333332,0.0
0,17.12.2018,29064.0,0.0
6,17.12.2018,36378.333333333336,0.0
12,17.12.2018,36816.833333333336,0.0
18,17.12.2018,33077.333333333336,0.0
0,18.12.2018,29667.833333333332,0.0
6,18.12.2018,36394.833333333336,0.0
12,18.12.2018,36912.333333333336,0.0
18,18.12.2018,33054.0,0.0
0,19.12.2018,29514.666666666668,0.0
6,19.12.2018,35894.0,0.0
12,19.12.2018,36346.5,0.0
18,19.12.2018,32793.166666666664,0.0
0,20.12.2018,29263.666666666668,0.0
6,20.12.2018,36159.166666666664,0.0
12,20.12.2018,36736.333333333336,0.0
18,20.12.2018,32973.166666666664,0.0
0,21.12.2018,29509.0,0.0
