,INTERVAL,M_DATE,PRICE_ZONE_ID,POWER_SYS_ID,E_USE_FACT
0,0,27.11.2018 0:00:00,1,530000,26561
1,1,27.11.2018 0:00:00,1,530000,26464
2,2,27.11.2018 0:00:00,1,530000,26416
3,3,27.11.2018 0:00:00,1,530000,26844
4,4,27.11.2018 0:00:00,1,530000,28107
5,5,27.11.2018 0:00:00,1,530000,30721
6,6,27.11.2018 0:00:00,1,530000,32499
7,7,27.11.2018 0:00:00,1,530000,34133
8,8,27.11.2018 0:00:00,1,530000,34854
9,9,27.11.2018 0:00:00,1,530000,34867
10,10,27.11.2018 0:00:00,1,530000,34117
11,11,27.11.2018 0:00:00,1,530000,34273
12,12,27.11.2018 0:00:00,1,530000,34434
13,13,27.11.2018 0:00:00,1,530000,34300
14,14,27.11.2018 0:00:00,1,530000,34697
15,15,27.11.2018 0:00:00,1,530000,35498
16,16,27.11.2018 0:00:00,1,530000,35339
17,17,27.11.2018 0:00:00,1,530000,34966
18,18,27.11.2018 0:00:00,1,530000,34338
19,19,27.11.2018 0:00:00,1,530000,33764
20,20,27.11.2018 0:00:00,1,530000,32254
21,21,27.11.2018 0:00:00,1,530000,30526
22,22,27.11.2018 0:00:00,1,530000,29158
23,23,27.11.2018 0:00:00,1,530000,27834
24,0,28.11.2018 0:00:00,1,530000,27126
25,1,28.11.2018 0:00:00,1,530000,27028
26,2,28.11.2018 0:00:00,1,530000,26977
27,3,28.11.2018 0:00:00,1,530000,27041
28,4,28.11.2018 0:00:00,1,530000,28498
29,5,28.11.2018 0:00:00,1,530000,30926
30,6,28.11.2018 0:00:00,1,530000,32793
31,7,28.11.2018 0:00:00,1,530000,34033
32,8,28.11.2018 0:00:00,1,530000,35131
33,9,28.11.2018 0:00:00,1,530000,34941
34,10,28.11.2018 0:00:00,1,530000,34460
35,11,28.11.2018 0:00:00,1,530000,34275
36,12,28.11.2018 0:00:00,1,530000,34527
37,13,28.11.2018 0:00:00,1,530000,34592
38,14,28.11.2018 0:00:00,1,530000,34868
39,15,28.11.2018 0:00:00,1,530000,35742
40,16,28.11.2018 0:00:00,1,530000,35794
41,17,28.11.2018 0:00:00,1,530000,35490
42,18,28.11.2018 0:00:00,1,530000,34457
43,19,28.11.2018 0:00:00,1,530000,34257
44,20,28.11.2018 0:00:00,1,530000,32845
45,21,28.11.2018 0:00:00,1,530000,30961
46,22,28.11.2018 0:00:00,1,530000,29599
47,23,28.11.2018 0:00:00,1,530000,28046
48,0,29.11.2018 0:00:00,1,530000,27411
49,1,29.11.2018 0:00:00,1,530000,27364
50,2,29.11.2018 0:00:00,1,530000,27266
51,3,29.11.2018 0:00:00,1,530000,27472
52,4,29.11.2018 0:00:00,1,530000,28940
53,5,29.11.2018 0:00:00,1,530000,31136
54,6,29.11.2018 0:00:00,1,530000,33511
55,7,29.11.2018 0:00:00,1,530000,34816
56,8,29.11.2018 0:00:00,1,530000,35620
57,9,29.11.2018 0:00:00,1,530000,35464
58,10,29.11.2018 0:00:00,1,530000,34862
59,11,29.11.2018 0:00:00,1,530000,34589
60,12,29.11.2018 0:00:00,1,530000,34752
61,13,29.11.2018 0:00:00,1,530000,34773
62,14,29.11.2018 0:00:00,1,530000,35017
63,15,29.11.2018 0:00:00,1,530000,35972
64,16,29.11.2018 0:00:00,1,530000,36029
65,17,29.11.2018 0:00:00,1,530000,35844
66,18,29.11.2018 0:00:00,1,530000,34940
67,19,29.11.2018 0:00:00,1,530000,34533
68,20,29.11.2018 0:00:00,1,530000,33278
69,21,29.11.2018 0:00:00,1,530000,31352
70,22,29.11.2018 0:00:00,1,530000,29811
71,23,29.11.2018 0:00:00,1,530000,28635
72,0,30.11.2018 0:00:00,1,530000,27934
73,1,30.11.2018 0:00:00,1,530000,27747
74,2,30.11.2018 0:00:00,1,530000,27888
75,3,30.11.2018 0:00:00,1,530000,28102
76,4,30.11.2018 0:00:00,1,530000,29509
77,5,30.11.2018 0:00:00,1,530000,31926
78,6,30.11.2018 0:00:00,1,530000,34096
79,7,30.11.2018 0:00:00,1,530000,35478
80,8,30.11.2018 0:00:00,1,530000,36515
81,9,30.11.2018 0:00:00,1,530000,36219
82,10,30.11.2018 0:00:00,1,530000,35552
83,11,30.11.2018 0:00:00,1,530000,35318
84,12,30.11.2018 0:00:00,1,530000,35363
85,13,30.11.2018 0:00:00,1,530000,35089
86,14,30.11.2018 0:00:00,1,530000,35300
87,15,30.11.2018 0:00:00,1,530000,36227
88,16,30.11.2018 0:00:00,1,530000,36241
89,17,30.11.2018 0:00:00,1,530000,35757
90,18,30.11.2018 0:00:00,1,530000,35220
91,19,30.11.2018 0:00:00,1,530000,34626
92,20,30.11.2018 0:00:00,1,530000,33472
93,21,30.11.2018 0:00:00,1,530000,31806
94,22,30.11.2018 0:00:00,1,530000,30360
95,23,30.11.2018 0:00:00,1,530000,29227
96,0,01.12.2018 0:00:00,1,530000,28553
