hour,date,fact_value,predict_value
0,01.01.2018,25049.625,0.0
0,02.01.2018,25826.583333333332,0.0
0,03.01.2018,26456.5,0.0
0,04.01.2018,26808.875,0.0
0,05.01.2018,27335.458333333332,0.0
0,06.01.2018,27281.458333333332,0.0
0,07.01.2018,26498.666666666668,0.0
0,08.01.2018,27796.625,0.0
0,09.01.2018,29965.166666666668,0.0
0,10.01.2018,30359.833333333332,0.0
0,11.01.2018,30728.875,0.0
0,12.01.2018,31121.125,0.0
0,13.01.2018,30011.833333333332,0.0
0,14.01.2018,29571.875,0.0
0,15.01.2018,31472.75,0.0
0,16.01.2018,31608.291666666668,0.0
0,17.01.2018,31786.875,0.0
0,18.01.2018,31943.166666666668,0.0
0,19.01.2018,31812.25,0.0
0,20.01.2018,30654.625,0.0
0,21.01.2018,29817.208333333332,0.0
0,22.01.2018,31934.458333333332,0.0
0,23.01.2018,32438.0,0.0
0,24.01.2018,32395.875,0.0
0,25.01.2018,32493.75,0.0
0,26.01.2018,32454.416666666668,0.0
0,27.01.2018,30740.125,0.0
0,28.01.2018,30147.25,0.0
0,29.01.2018,31955.416666666668,0.0
0,30.01.2018,31659.916666666668,0.0
0,31.01.2018,31468.666666666668,0.0
0,01.02.2018,31784.291666666668,0.0
0,02.02.2018,31921.541666666668,0.0
0,03.02.2018,29882.25,0.0
0,04.02.2018,29409.083333333332,0.0
0,05.02.2018,31854.125,0.0
0,06.02.2018,32281.541666666668,0.0
0,07.02.2018,32496.5,0.0
0,08.02.2018,32306.583333333332,0.0
0,09.02.2018,32014.375,0.0
0,10.02.2018,30509.916666666668,0.0
0,11.02.2018,29752.041666666668,0.0
0,12.02.2018,31520.041666666668,0.0
0,13.02.2018,32068.416666666668,0.0
0,14.02.2018,32342.833333333332,0.0
0,15.02.2018,32363.125,0.0
0,16.02.2018,32168.0,0.0
0,17.02.2018,30427.25,0.0
0,18.02.2018,29689.125,0.0
0,19.02.2018,31345.5,0.0
0,20.02.2018,31694.333333333332,0.0
0,21.02.2018,32396.916666666668,0.0
0,22.02.2018,32435.541666666668,0.0
0,23.02.2018,31022.041666666668,0.0
0,24.02.2018,31069.083333333332,0.0
0,25.02.2018,31095.0,0.0
0,26.02.2018,33276.875,0.0
0,27.02.2018,33638.791666666664,0.0
0,28.02.2018,33741.958333333336,0.0
0,01.03.2018,33240.833333333336,0.0
0,02.03.2018,32944.375,0.0
0,03.03.2018,31396.291666666668,0.0
0,04.03.2018,30718.0,0.0
0,05.03.2018,32315.166666666668,0.0
0,06.03.2018,32390.125,0.0
0,07.03.2018,31951.333333333332,0.0
0,08.03.2018,29451.041666666668,0.0
0,09.03.2018,29680.75,0.0
0,10.03.2018,29868.875,0.0
0,11.03.2018,29491.916666666668,0.0
0,12.03.2018,31339.708333333332,0.0
0,13.03.2018,31071.666666666668,0.0
0,14.03.2018,31018.916666666668,0.0
0,15.03.2018,31233.083333333332,0.0
0,16.03.2018,31294.583333333332,0.0
0,17.03.2018,30466.708333333332,0.0
0,18.03.2018,29906.75,0.0
0,19.03.2018,31229.958333333332,0.0
0,20.03.2018,30766.291666666668,0.0
0,21.03.2018,30656.791666666668,0.0
0,22.03.2018,30365.958333333332,0.0
0,23.03.2018,30390.541666666668,0.0
0,24.03.2018,28641.125,0.0
0,25.03.2018,28079.75,0.0
0,26.03.2018,29624.666666666668,0.0
0,27.03.2018,29858.5,0.0
0,28.03.2018,30119.291666666668,0.0
0,29.03.2018,30188.208333333332,0.0
0,30.03.2018,30069.708333333332,0.0
0,31.03.2018,28711.958333333332,0.0
0,01.04.2018,27629.083333333332,0.0
0,02.04.2018,29040.625,0.0
0,03.04.2018,28958.583333333332,0.0
0,04.04.2018,28629.333333333332,0.0
0,05.04.2018,28219.791666666668,0.0
0,06.04.2018,27809.291666666668,0.0
0,07.04.2018,26492.083333333332,0.0
0,08.04.2018,25183.958333333332,0.0
0,09.04.2018,26750.916666666668,0.0
0,10.04.2018,26591.375,0.0
0,11.04.2018,27249.25,0.0
0,12.04.2018,27216.166666666668,0.0
0,13.04.2018,27050.625,0.0
0,14.04.2018,25683.333333333332,0.0
0,15.04.2018,24755.875,0.0
0,16.04.2018,25915.041666666668,0.0
0,17.04.2018,25689.0,0.0
0,18.04.2018,26566.291666666668,0.0
0,19.04.2018,26615.708333333332,0.0
0,20.04.2018,26195.791666666668,0.0
0,21.04.2018,24748.75,0.0
0,22.04.2018,25083.958333333332,0.0
0,23.04.2018,26674.291666666668,0.0
0,24.04.2018,26568.541666666668,0.0
0,25.04.2018,26522.416666666668,0.0
0,26.04.2018,26600.958333333332,0.0
