hour,date,fact_value,predict_value
5,26.12.2010,18543.416666666668,0.0
5,27.12.2010,20423.916666666668,0.0
5,28.12.2010,17337.708333333332,0.0
5,29.12.2010,15409.125,0.0
5,30.12.2010,15905.791666666666,0.0
5,31.12.2010,18636.625,0.0
5,01.01.2011,16827.958333333332,0.0
5,02.01.2011,16197.708333333334,0.0
5,03.01.2011,17519.416666666668,0.0
5,04.01.2011,16129.5,0.0
5,05.01.2011,16311.583333333334,0.0
5,06.01.2011,16129.25,0.0
5,07.01.2011,15761.041666666666,0.0
5,08.01.2011,16421.416666666668,0.0
5,09.01.2011,16775.916666666668,0.0
5,10.01.2011,16160.958333333334,0.0
5,11.01.2011,16054.041666666666,0.0
5,12.01.2011,16133.25,0.0
5,13.01.2011,14624.833333333334,0.0
5,14.01.2011,14969.208333333334,0.0
5,15.01.2011,14744.416666666666,0.0
5,16.01.2011,14303.458333333334,0.0
5,17.01.2011,14695.25,0.0
5,18.01.2011,13984.875,0.0
5,19.01.2011,15305.875,0.0
5,20.01.2011,14870.333333333334,0.0
5,21.01.2011,14627.166666666666,0.0
5,22.01.2011,12601.083333333334,0.0
5,23.01.2011,14446.833333333334,0.0
5,24.01.2011,16258.416666666666,0.0
5,25.01.2011,15968.166666666666,0.0
5,26.01.2011,17258.916666666668,0.0
5,27.01.2011,16052.5,0.0
5,28.01.2011,15243.958333333334,0.0
5,29.01.2011,13194.666666666666,0.0
5,30.01.2011,15842.583333333334,0.0
5,31.01.2011,15017.833333333334,0.0
5,01.02.2011,14807.333333333334,0.0
5,02.02.2011,15236.0,0.0
5,03.02.2011,14132.791666666666,0.0
5,04.02.2011,14901.958333333334,0.0
5,05.02.2011,14329.375,0.0
5,06.02.2011,14769.666666666666,0.0
5,07.02.2011,14871.916666666666,0.0
5,08.02.2011,13455.375,0.0
5,09.02.2011,12285.958333333334,0.0
5,10.02.2011,12731.791666666666,0.0
5,11.02.2011,12993.791666666666,0.0
5,12.02.2011,13201.791666666666,0.0
5,13.02.2011,16455.083333333332,0.0
5,14.02.2011,16297.875,0.0
5,15.02.2011,15980.0,0.0
5,16.02.2011,15457.458333333334,0.0
5,17.02.2011,13646.791666666666,0.0
5,18.02.2011,14482.666666666666,0.0
5,19.02.2011,13974.458333333334,0.0
5,20.02.2011,15085.083333333334,0.0
5,21.02.2011,14127.083333333334,0.0
5,22.02.2011,13916.25,0.0
5,23.02.2011,14719.75,0.0
5,24.02.2011,20273.625,0.0
5,25.02.2011,19940.833333333332,0.0
5,26.02.2011,18884.166666666668,0.0
5,27.02.2011,18097.416666666668,0.0
5,28.02.2011,19486.166666666668,0.0
5,01.03.2011,19961.708333333332,0.0
5,02.03.2011,18846.791666666668,0.0
5,03.03.2011,19411.208333333332,0.0
5,04.03.2011,19346.5,0.0
5,05.03.2011,19719.791666666668,0.0
5,06.03.2011,19912.125,0.0
5,07.03.2011,19513.208333333332,0.0
5,08.03.2011,18358.75,0.0
5,09.03.2011,17198.375,0.0
5,10.03.2011,17940.041666666668,0.0
5,11.03.2011,18302.208333333332,0.0
5,12.03.2011,17561.291666666668,0.0
5,13.03.2011,18126.375,0.0
5,14.03.2011,20444.583333333332,0.0
5,15.03.2011,19697.416666666668,0.0
5,16.03.2011,18014.708333333332,0.0
5,17.03.2011,19276.791666666668,0.0
5,18.03.2011,19434.458333333332,0.0
5,19.03.2011,19896.958333333332,0.0
5,20.03.2011,19537.791666666668,0.0
5,21.03.2011,19521.875,0.0
5,22.03.2011,19354.041666666668,0.0
5,23.03.2011,19354.958333333332,0.0
5,24.03.2011,20673.916666666668,0.0
5,25.03.2011,18789.291666666668,0.0
5,26.03.2011,19836.541666666668,0.0
5,27.03.2011,18832.583333333332,0.0
5,28.03.2011,18927.75,0.0
5,29.03.2011,18004.916666666668,0.0
5,30.03.2011,19065.666666666668,0.0
5,31.03.2011,18842.166666666668,0.0
5,01.04.2011,18861.625,0.0
5,02.04.2011,19244.125,0.0
5,03.04.2011,19827.875,0.0
5,04.04.2011,20303.25,0.0
5,05.04.2011,20305.0,0.0
5,06.04.2011,20181.958333333332,0.0
5,07.04.2011,19979.25,0.0
5,08.04.2011,19650.333333333332,0.0
5,09.04.2011,21540.666666666668,0.0
5,10.04.2011,23553.291666666668,0.0
5,11.04.2011,27017.833333333332,0.0
5,12.04.2011,27490.458333333332,0.0
5,13.04.2011,28453.5,0.0
5,14.04.2011,26488.541666666668,0.0
5,15.04.2011,28456.458333333332,0.0
5,16.04.2011,29362.583333333332,0.0
5,17.04.2011,27016.0,0.0
5,18.04.2011,28874.916666666668,0.0
5,19.04.2011,29197.041666666668,0.0
5,20.04.2011,29770.291666666668,0.0
5,21.04.2011,30111.75,0.0
5,22.04.2011,28829.25,0.0
5,23.04.2011,30014.875,0.0
5,24.04.2011,30645.958333333332,0.0
5,25.04.2011,28977.375,0.0
5,26.04.2011,24289.791666666668,0.0
5,27.04.2011,24596.5,0.0
5,28.04.2011,23359.583333333332,0.0
5,29.04.2011,24075.125,0.0
5,30.04.2011,24384.0,0.0
5,01.05.2011,24290.25,0.0
5,02.05.2011,25643.625,0.0
5,03.05.2011,25296.208333333332,0.0
5,04.05.2011,25133.0,0.0
5,05.05.2011,25712.25,0.0
5,06.05.2011,25347.125,0.0
5,07.05.2011,24815.125,0.0
