INTERVAL;M_DATE;PRICE_ZONE_ID;POWER_SYS_ID;E_USE_FACT
0;27.11.2018 0:00:00;1;630000;30601
1;27.11.2018 0:00:00;1;630000;30669
2;27.11.2018 0:00:00;1;630000;31293
3;27.11.2018 0:00:00;1;630000;32426
4;27.11.2018 0:00:00;1;630000;33247
5;27.11.2018 0:00:00;1;630000;34121
6;27.11.2018 0:00:00;1;630000;34226
7;27.11.2018 0:00:00;1;630000;34231
8;27.11.2018 0:00:00;1;630000;33959
9;27.11.2018 0:00:00;1;630000;33719
10;27.11.2018 0:00:00;1;630000;33660
11;27.11.2018 0:00:00;1;630000;33688
12;27.11.2018 0:00:00;1;630000;33922
13;27.11.2018 0:00:00;1;630000;34048
14;27.11.2018 0:00:00;1;630000;34693
15;27.11.2018 0:00:00;1;630000;34799
16;27.11.2018 0:00:00;1;630000;34394
17;27.11.2018 0:00:00;1;630000;34119
18;27.11.2018 0:00:00;1;630000;33756
19;27.11.2018 0:00:00;1;630000;32688
20;27.11.2018 0:00:00;1;630000;31760
21;27.11.2018 0:00:00;1;630000;31059
22;27.11.2018 0:00:00;1;630000;30707
23;27.11.2018 0:00:00;1;630000;30429
0;28.11.2018 0:00:00;1;630000;30468
1;28.11.2018 0:00:00;1;630000;30537
2;28.11.2018 0:00:00;1;630000;31226
3;28.11.2018 0:00:00;1;630000;32432
4;28.11.2018 0:00:00;1;630000;33439
5;28.11.2018 0:00:00;1;630000;34289
6;28.11.2018 0:00:00;1;630000;34404
7;28.11.2018 0:00:00;1;630000;34300
8;28.11.2018 0:00:00;1;630000;34021
9;28.11.2018 0:00:00;1;630000;33752
10;28.11.2018 0:00:00;1;630000;33992
11;28.11.2018 0:00:00;1;630000;33701
12;28.11.2018 0:00:00;1;630000;34090
13;28.11.2018 0:00:00;1;630000;34505
14;28.11.2018 0:00:00;1;630000;34682
15;28.11.2018 0:00:00;1;630000;34602
16;28.11.2018 0:00:00;1;630000;34395
17;28.11.2018 0:00:00;1;630000;34164
18;28.11.2018 0:00:00;1;630000;33304
19;28.11.2018 0:00:00;1;630000;32914
20;28.11.2018 0:00:00;1;630000;31890
21;28.11.2018 0:00:00;1;630000;31322
22;28.11.2018 0:00:00;1;630000;30928
23;28.11.2018 0:00:00;1;630000;30689
0;29.11.2018 0:00:00;1;630000;30667
1;29.11.2018 0:00:00;1;630000;30932
2;29.11.2018 0:00:00;1;630000;31425
3;29.11.2018 0:00:00;1;630000;32726
4;29.11.2018 0:00:00;1;630000;33276
5;29.11.2018 0:00:00;1;630000;34451
6;29.11.2018 0:00:00;1;630000;34681
7;29.11.2018 0:00:00;1;630000;34498
8;29.11.2018 0:00:00;1;630000;34370
9;29.11.2018 0:00:00;1;630000;34190
10;29.11.2018 0:00:00;1;630000;34100
11;29.11.2018 0:00:00;1;630000;34275
12;29.11.2018 0:00:00;1;630000;34460
13;29.11.2018 0:00:00;1;630000;34660
14;29.11.2018 0:00:00;1;630000;35339
15;29.11.2018 0:00:00;1;630000;35465
16;29.11.2018 0:00:00;1;630000;34696
17;29.11.2018 0:00:00;1;630000;34489
18;29.11.2018 0:00:00;1;630000;34111
19;29.11.2018 0:00:00;1;630000;33233
20;29.11.2018 0:00:00;1;630000;32152
21;29.11.2018 0:00:00;1;630000;31452
22;29.11.2018 0:00:00;1;630000;31200
23;29.11.2018 0:00:00;1;630000;31076
0;30.11.2018 0:00:00;1;630000;30814
1;30.11.2018 0:00:00;1;630000;31100
2;30.11.2018 0:00:00;1;630000;31796
3;30.11.2018 0:00:00;1;630000;33056
4;30.11.2018 0:00:00;1;630000;34131
5;30.11.2018 0:00:00;1;630000;34857
6;30.11.2018 0:00:00;1;630000;35189
7;30.11.2018 0:00:00;1;630000;34888
8;30.11.2018 0:00:00;1;630000;34661
9;30.11.2018 0:00:00;1;630000;34508
10;30.11.2018 0:00:00;1;630000;34405
11;30.11.2018 0:00:00;1;630000;34422
12;30.11.2018 0:00:00;1;630000;34507
13;30.11.2018 0:00:00;1;630000;34779
14;30.11.2018 0:00:00;1;630000;34986
15;30.11.2018 0:00:00;1;630000;34728
16;30.11.2018 0:00:00;1;630000;34462
17;30.11.2018 0:00:00;1;630000;34425
18;30.11.2018 0:00:00;1;630000;33882
19;30.11.2018 0:00:00;1;630000;33108
20;30.11.2018 0:00:00;1;630000;32318
21;30.11.2018 0:00:00;1;630000;31761
22;30.11.2018 0:00:00;1;630000;31038
23;30.11.2018 0:00:00;1;630000;30873
0;01.12.2018 0:00:00;1;630000;30579
1;01.12.2018 0:00:00;1;630000;30694
2;01.12.2018 0:00:00;1;630000;30999
3;01.12.2018 0:00:00;1;630000;31564
4;01.12.2018 0:00:00;1;630000;32047
5;01.12.2018 0:00:00;1;630000;32805
6;01.12.2018 0:00:00;1;630000;33502
